Account ID,Name,Phone,Email,Last Year Total Sales,Country,State/Province,City
87624ca7-3452-40ad-b0c5-43ac3259fab0,Smith-Pfeffer,994-757-2491,ljillett0@artisteer.com,7730,China,,Longtang
071f43f8-8020-404d-8569-ecf305982a07,Barrows-Smith,,mpennuzzi1@odnoklassniki.ru,5533,China,,Dasha
fb5a4ac4-4fa7-430f-9625-388fd27cef1d,Armstrong-Abbott,802-795-7846,pwickey2@tripod.com,1925,Indonesia,,Tanjungpecinan Utara
7c636be7-b43d-45dd-b78f-30df33a7400c,"Armstrong, Jakubowski and Carter",370-388-7481,ybonnavant3@ca.gov,1077,Ukraine,,Myronivka
837adf40-145e-4de5-8e2b-90b6b030b593,Mills-Grant,524-888-8157,zvidineev4@sciencedirect.com,5909,Czech Republic,,Šenov
eecbc7a3-79c7-4166-9161-fd85ac92960c,Schiller Group,528-288-5064,xramel5@exblog.jp,2249,China,,Tongxing
71b56238-75fc-41d5-b9bd-ae2e513bc2dd,Schmeler Group,974-853-5436,mcutford6@cocolog-nifty.com,4717,Russia,,Dubrovka
1a377e8e-00e0-4ea7-aff6-96d9319917b7,Kuphal-Little,455-221-4119,cjouandet7@weibo.com,7277,Portugal,Ilha de São Miguel,Ponta Delgada
2c30a87f-8d48-4cbb-93cc-ea33f3343ce9,Rempel Inc,406-147-8631,kolenchenko8@squidoo.com,3299,Philippines,,Pulo
98538c35-9727-454e-a32b-2dd2ad19ab12,Braun-Jaskolski,252-843-2056,ddaniaud9@sina.com.cn,5941,Indonesia,,Sumbawa Besar
ffe80768-1f6a-429e-8b24-b6a142bde986,Dickinson-Jaskolski,700-567-9468,cundrilla@bbc.co.uk,1290,China,,Lukou
9dc0a049-5a0d-4886-8aa9-e424762350fa,"Collier, Gleason and Hilpert",751-847-3344,dhassellb@reverbnation.com,3333,Argentina,,Lanús
b85eb85a-2e81-439e-ac9d-958cb125561f,Witting Inc,982-178-0180,mprykec@digg.com,1545,Philippines,,Hagonoy
e9fa0f65-96b3-47de-ba93-f092c6d40ca7,"Konopelski, White and Adams",413-308-4461,mbranfordd@php.net,3283,Libya,,Brak
38fb334f-828e-4031-8c40-b1f9a2ee9ba4,Cole-Fritsch,974-459-5744,jbollanse@ox.ac.uk,2120,Poland,,Żelazków
df69dbee-952f-4d59-bce5-bac253cfe98d,"Treutel, Bergstrom and Ernser",729-974-6230,bthomenf@wisc.edu,1505,Dominican Republic,,La Romana
4bd09346-fada-472a-979c-72c9c19b9afd,"Gibson, Johns and Runolfsson",686-367-9885,,5699,Brazil,,Cachoeiro de Itapemirim
2fb71595-7b98-45e2-94b9-7eb659b67acc,Prohaska-Kemmer,664-490-7307,rnanah@linkedin.com,6032,Serbia,,Kikinda
852e330f-5c5b-4d13-903c-7010a34fad72,Hegmann and Sons,233-979-3266,,1699,Sierra Leone,,Freetown
140bcb24-5192-4c86-9c62-180dc9bad636,"Schmitt, Huels and Schiller",938-832-6213,pfontellesj@huffingtonpost.com,2087,Saudi Arabia,,Al Jarādīyah
04836502-fe7f-422d-9485-b301ea82de15,"Padberg, Kihn and Wiza",819-253-6374,ghaldanek@mayoclinic.com,7706,Iran,,Bāft
b6a4208d-523a-44b5-b9df-755aa5229dbf,"Kuvalis, Hilll and Carter",980-910-7259,bklammanl@facebook.com,1715,Denmark,Region Hovedstaden,København
d5c75f7d-5e98-4b5f-9457-7e97b7ea7c1c,"Kassulke, Bradtke and Lowe",497-981-2866,fwatkissm@ehow.com,7507,France,Île-de-France,Cergy-Pontoise
89581ef3-d71f-4185-8eea-5cb052fd7b03,Mueller Group,202-587-3965,whughesn@rediff.com,3083,United States,District of Columbia,Washington
7f42551c-213c-4b30-9579-e48a9d61bdfa,"Howell, O'Reilly and Goldner",835-568-2353,bsharvello@zimbio.com,9509,Mexico,Chiapas,Independencia
1cf3e627-e00b-4ce2-9a23-5de56cfc9f2c,West-Mante,542-941-5301,,9010,Montenegro,,Bijelo Polje
2f8211a8-0e39-49ab-8f57-b891228187a9,Kertzmann-Rempel,467-965-6351,khebbsq@amazon.de,9004,Indonesia,,Pasirangin Tiga
ecfaf8ee-6b26-42a8-a4c1-0c913097c4e8,Bauch Group,567-683-3354,swoolandr@whitehouse.gov,8967,Tanzania,,Mingoyo
30cad53d-d8a5-4a70-a5c3-eced6aadde04,Morissette Group,262-416-8416,rbuddles@wordpress.com,2894,China,,Zheyuan
132f326d-8c62-4037-abd4-1ada96a38ed5,"Shields, Ankunding and Bruen",733-683-2330,blethebridget@squarespace.com,7276,China,,Zhangdan
d7b9205b-beaa-4b84-87c1-f23fd937f50c,"Spencer, Marquardt and Cormier",900-606-7797,pboydellu@usda.gov,2585,Cambodia,,Battambang
2e85fa87-0b0f-4387-ac25-fcd7e0974b9a,Thompson-Lueilwitz,345-109-0577,bwitherdenv@w3.org,5764,Albania,,Blerim
155b08a9-719d-4089-b301-ca7772837289,"Crona, Reichel and Cole",783-311-4827,mfludgatew@ftc.gov,6282,Norway,Oslo,Oslo
